timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue,time,electricity,power,type
2023-11-10T08:07:36,codecarbon,375f10f1-3282-4929-8e5f-5e0304e28785,0.0013027191162109,8.386823869978495e-09,6.437937208116083e-06,42.5,0.0,4.7543792724609375,1.4261901378631593e-08,0,3.67768273766463e-10,1.4629669652398057e-08,Taiwan,TWN,taipei city,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2,Intel(R) Xeon(R) CPU @ 2.20GHz,,,121.5324,25.0504,12.6783447265625,machine,N,1.0,0.0204246044158935,8.652051556585346e-09,4.2360925971485116e-07,list
2023-11-10T08:07:38,codecarbon,d0fb06e2-f6c2-47b0-bab9-f6b145ffb02f,0.0013389587402343,8.403571782222623e-09,6.276199205922984e-06,42.5,0.0,4.7543792724609375,1.4318194654252796e-08,0,3.4068944538982277e-10,1.4658884099642618e-08,Taiwan,TWN,taipei city,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2,Intel(R) Xeon(R) CPU @ 2.20GHz,,,121.5324,25.0504,12.6783447265625,machine,N,1.0,0.021136999130249,7.291276135566251e-09,3.44953230618804e-07,list
2023-11-10T08:07:40,codecarbon,8ec4a927-a3e3-44eb-83cf-d69024d1bec4,0.001326560974121,8.237723441470103e-09,6.209834000979838e-06,42.5,0.0,4.7543792724609375,1.4031098948584664e-08,0,3.3848535470800315e-10,1.4369584303292669e-08,Taiwan,TWN,taipei city,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2,Intel(R) Xeon(R) CPU @ 2.20GHz,,,121.5324,25.0504,12.6783447265625,machine,N,1.0,0.0211694240570068,9.108896155055542e-09,4.302854971645109e-07,list
2023-11-10T08:07:42,codecarbon,c2f0468a-f189-4931-8ba4-021dcdd6c18a,0.0015404224395751,9.578413917319797e-09,6.218043616633662e-06,42.5,0.0,4.7543792724609375,1.6372899214426676e-08,0,3.3533665373397525e-10,1.670823586816065e-08,Taiwan,TWN,taipei city,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2,Intel(R) Xeon(R) CPU @ 2.20GHz,,,121.5324,25.0504,12.6783447265625,machine,N,1.0,0.0202398300170898,5.6514006519196305e-09,2.792217448045648e-07,list
2023-11-10T08:07:44,codecarbon,c178b7f4-fb82-4a4f-8189-0a86993fa345,0.0013973712921142,8.802054520869182e-09,6.29900912559285e-06,42.5,0.0,4.7543792724609375,1.4985269970364046e-08,0,3.6871288405867135e-10,1.5353982854422715e-08,Taiwan,TWN,taipei city,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2,Intel(R) Xeon(R) CPU @ 2.20GHz,,,121.5324,25.0504,12.6783447265625,machine,N,1.0,0.0329189300537109,1.0785970209313594e-08,3.276525145779365e-07,list
2023-11-10T08:07:46,codecarbon,172582f8-7570-4d89-8933-0d7d57d3e915,0.0013325214385986,8.541513731165651e-09,6.410038505758278e-06,42.5,0.0,4.7543792724609375,1.4540553092956545e-08,0,3.5895191103918474e-10,1.4899505003995733e-08,Taiwan,TWN,taipei city,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2,Intel(R) Xeon(R) CPU @ 2.20GHz,,,121.5324,25.0504,12.6783447265625,machine,N,1.0,0.0199790000915527,7.427362771762572e-09,3.717584832938118e-07,list
2023-11-10T08:07:48,codecarbon,06bcde3b-daa2-4b06-9c2f-8bccf5af246f,0.0013136863708496,8.408751549636641e-09,6.400882079790773e-06,42.5,0.0,4.7543792724609375,1.4332267973158097e-08,0,3.3565152383137804e-10,1.4667919496989473e-08,Taiwan,TWN,taipei city,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2,Intel(R) Xeon(R) CPU @ 2.20GHz,,,121.5324,25.0504,12.6783447265625,machine,N,1.0,0.0251572132110595,1.1543060882477826e-08,4.588370256131266e-07,list
2023-11-10T08:07:50,codecarbon,937534f0-b2e3-4fb3-af4f-0b47210eaa7e,0.001310110092163,8.225875897334517e-09,6.278766911682212e-06,42.5,0.0,4.7543792724609375,1.40142109658983e-08,0,3.3470691353916966e-10,1.4348917879437471e-08,Taiwan,TWN,taipei city,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2,Intel(R) Xeon(R) CPU @ 2.20GHz,,,121.5324,25.0504,12.6783447265625,machine,N,1.0,0.0200839042663574,7.075543482150275e-09,3.522992037958739e-07,list
2023-11-10T08:07:52,codecarbon,9acec1fe-9d61-4637-81d4-40c4aa6da375,0.0013308525085449,8.554974851680324e-09,6.4281915514694e-06,42.5,0.0,4.7543792724609375,1.4560255739423964e-08,0,3.627303522080184e-10,1.492298609163198e-08,Taiwan,TWN,taipei city,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2,Intel(R) Xeon(R) CPU @ 2.20GHz,,,121.5324,25.0504,12.6783447265625,machine,N,1.0,0.0204579830169677,5.799565580602449e-09,2.834866748981223e-07,list
2023-11-10T08:07:54,codecarbon,08aea6b4-90ea-47c4-90ab-bf25c5ed3a9a,0.0015094280242919,9.703944824628556e-09,6.428888736963964e-06,42.5,0.0,4.7543792724609375,1.6583998998006188e-08,0,3.432084061690451e-10,1.6927207404175234e-08,Taiwan,TWN,taipei city,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2,Intel(R) Xeon(R) CPU @ 2.20GHz,,,121.5324,25.0504,12.6783447265625,machine,N,1.0,0.0200929641723632,8.833340307429529e-09,4.396235533818988e-07,list
