timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue,running_method
2023-11-10T10:33:34,codecarbon,60a95e4f-f106-457a-85ad-63b73fd6ab03,0.0086760520935058,5.133592033120013e-08,5.916967738082826e-06,42.5,0.0,4.7543792724609375,1.0097324848175049e-07,0.0,4.236892030651992e-09,1.0521014051240249e-07,Singapore,SGP,,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2.0,Intel(R) Xeon(R) CPU @ 2.00GHz,1.0,1 x Tesla T4,103.8547,1.2929,12.6783447265625,machine,N,1.0,parallel
2023-11-10T10:33:36,codecarbon,fdd87813-7ea3-4d15-9499-6b3e8f8192a3,0.0071969032287597,4.285186599203848e-08,5.954209002115912e-06,42.5,0.0,4.7543792724609375,8.365743690066867e-08,0.0,4.165101648444155e-09,8.782253854911283e-08,Singapore,SGP,,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2.0,Intel(R) Xeon(R) CPU @ 2.00GHz,1.0,1 x Tesla T4,103.8547,1.2929,12.6783447265625,machine,N,1.0,parallel
2023-11-10T10:33:36,codecarbon,72600528-8417-47fa-a5e7-0fa7cb210d95,0.0076620578765869,4.5372269592060883e-08,5.921681919253797e-06,42.5,0.0,4.7543792724609375,8.86534651120504e-08,0.0,4.334501760846858e-09,9.298796687289725e-08,Singapore,SGP,,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2.0,Intel(R) Xeon(R) CPU @ 2.00GHz,1.0,1 x Tesla T4,103.8547,1.2929,12.6783447265625,machine,N,1.0,parallel
2023-11-10T10:33:38,codecarbon,736f1ee3-136e-4576-8bd1-202f275c808e,0.0071535110473632,4.274897882436833e-08,5.975943636813869e-06,42.5,0.0,4.7543792724609375,8.345759577221342e-08,0.0,4.154081195035057e-09,8.76116769672485e-08,Singapore,SGP,,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2.0,Intel(R) Xeon(R) CPU @ 2.00GHz,1.0,1 x Tesla T4,103.8547,1.2929,12.6783447265625,machine,N,1.0,parallel
2023-11-10T10:33:38,codecarbon,296f8563-1d74-40a9-a40b-6e7b00d06f87,0.0078382492065429,4.6514176523260286e-08,5.93425589026088e-06,42.5,0.0,4.7543792724609375,9.061810043123037e-08,0.0,4.710141787048391e-09,9.532824221827877e-08,Singapore,SGP,,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2.0,Intel(R) Xeon(R) CPU @ 2.00GHz,1.0,1 x Tesla T4,103.8547,1.2929,12.6783447265625,machine,N,1.0,parallel
2023-11-10T10:33:41,codecarbon,5bec2aae-3786-4ad2-90c9-44635a5174ee,0.0074384212493896,4.446723856603437e-08,5.978047904947987e-06,42.5,0.0,4.7543792724609375,8.632855282889476e-08,0.0,4.804602816269229e-09,9.113315564516397e-08,Singapore,SGP,,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2.0,Intel(R) Xeon(R) CPU @ 2.00GHz,1.0,1 x Tesla T4,103.8547,1.2929,12.6783447265625,machine,N,1.0,parallel
2023-11-10T10:33:41,codecarbon,02766879-1616-4ba3-85cc-13041a576a77,0.0137791633605957,8.47977317559433e-08,6.154055187301104e-06,42.5,0.0,4.7543792724609375,1.6121268272399904e-07,0.0,1.2575596820170176e-08,1.7378827954416922e-07,Singapore,SGP,,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2.0,Intel(R) Xeon(R) CPU @ 2.00GHz,1.0,1 x Tesla T4,103.8547,1.2929,12.6783447265625,machine,N,1.0,parallel
2023-11-10T10:33:44,codecarbon,ee6f5861-bb07-46e3-af40-2ff9c2a36214,0.007153034210205,4.274123687241286e-08,5.975259675318604e-06,42.5,0.0,4.7543792724609375,8.342944913440283e-08,0.0,4.166361128833766e-09,8.759581026323658e-08,Singapore,SGP,,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2.0,Intel(R) Xeon(R) CPU @ 2.00GHz,1.0,1 x Tesla T4,103.8547,1.2929,12.6783447265625,machine,N,1.0,parallel
2023-11-10T10:33:44,codecarbon,51c03f31-9a0e-4d82-b0bf-385121433eed,0.0076370239257812,4.516705368979277e-08,5.914221839389129e-06,42.5,0.0,4.7543792724609375,8.82706708378262e-08,0.0,4.296717349158523e-09,9.256738818698476e-08,Singapore,SGP,,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2.0,Intel(R) Xeon(R) CPU @ 2.00GHz,1.0,1 x Tesla T4,103.8547,1.2929,12.6783447265625,machine,N,1.0,parallel
2023-11-10T10:33:46,codecarbon,2dcd09ff-e7b1-4c62-93f6-d69fbca49e39,0.0091443061828613,5.410927275399073e-08,5.917263887708044e-06,42.5,0.0,4.7543792724609375,1.0645902819103668e-07,0.0,4.434945321918349e-09,1.1089397351295501e-07,Singapore,SGP,,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2.0,Intel(R) Xeon(R) CPU @ 2.00GHz,1.0,1 x Tesla T4,103.8547,1.2929,12.6783447265625,machine,N,1.0,parallel
