total_time,electricity,type,running_method
0.015575408935546875,6.045389295065337e-08,df,seq
0.015521764755249023,6.024568014888542e-08,df,seq
0.0,6.047054997479481e-08,df,seq
0.015459537506103516,6.000415329883459e-08,df,seq
0.015613317489624023,1.2097163782718224e-07,df,seq
0.015571117401123047,6.043723592651193e-08,df,seq
0.015557289123535156,6.03835632931673e-08,df,seq
0.0,6.031786058683163e-08,df,seq
0.0,0.0,df,seq
0.016299962997436523,6.32661538598659e-08,df,seq
0.0,1.008449405387246e-07,df,seq
0.0,3.88443201819131e-08,df,seq
0.0,3.91132783994029e-08,df,seq
0.015642404556274414,6.071392760530581e-08,df,seq
0.0,2.1080687792484263e-07,df,seq
0.0,0.0,df,seq
0.015552997589111328,6.036690626902587e-08,df,seq
0.03298306465148926,2.3494828524035293e-07,np,parallel
0.0,9.948417346077917e-08,np,parallel
0.015660762786865234,6.078518265302194e-08,np,parallel
0.03973269462585449,2.1462390528194855e-07,np,parallel
0.04627203941345215,3.6356263139764917e-07,np,parallel
0.4728689193725586,2.244366249463387e-06,np,parallel
0.3157360553741455,1.552690596813282e-06,np,parallel
0.0,3.884787469580063e-08,np,parallel
0.47751545906066895,2.369120475500074e-06,np,parallel
0.4396800994873047,2.1925881369183562e-06,np,parallel
0.012316226959228516,7.560821361508763e-08,np,parallel
0.250730037689209,1.3938547907268288e-06,np,parallel
0.3174736499786377,1.4473873951360646e-06,np,parallel
0.13439321517944336,6.228729246687216e-07,np,parallel
0.06188201904296875,,np,parallel
0.4190669059753418,2.159463512697099e-06,np,parallel
0.2173013687133789,1.1671143078570698e-06,np,parallel
0.3734719753265381,1.7456099637944592e-06,np,parallel
0.3334634304046631,1.8251364631991907e-06,np,parallel
0.42145776748657227,2.162368445152167e-06,np,parallel
0.04127311706542969,2.1391034789571712e-07,np,parallel
0.443676233291626,2.163505534504876e-06,np,parallel
0.12054920196533203,6.672452205861005e-07,np,parallel
0.4491422176361084,2.2349214350175216e-06,np,parallel
0.3202505111694336,1.8233558377322617e-06,np,parallel
0.4600026607513428,,np,parallel
0.47609448432922363,,np,parallel
0.3479764461517334,1.7249850403979767e-06,np,parallel
0.0,6.066395653288148e-08,np,parallel
0.28920841217041016,1.2906712776247087e-06,np,parallel
0.0029020309448242188,8.082988965980727e-08,np,parallel
0.4516427516937256,2.378466645483336e-06,np,parallel
0.015517473220825195,8.696376274486583e-08,np,parallel
0.023439884185791016,2.2231464218020217e-07,np,parallel
0.0,6.816609512813845e-08,np,parallel
0.012113571166992188,8.629361771289201e-07,list,parallel
0.02204155921936035,6.94915998938388e-07,list,parallel
0.015724658966064453,6.103318723468332e-08,list,parallel
0.006490945816040039,3.291335431324835e-08,list,parallel
0.03163290023803711,1.2277892494652806e-07,list,parallel
0.016004562377929688,3.071842074188148e-07,list,parallel
0.023520708084106445,9.553266040228845e-08,list,parallel
0.008297204971313477,7.089757585896354e-07,list,parallel
0.01397085189819336,,list,parallel
0.013412952423095703,1.2226040349468404e-07,list,parallel
0.013048171997070312,8.634812182524629e-07,list,parallel
0.012000083923339844,,list,parallel
0.01859760284423828,7.790258696739657e-07,list,parallel
0.0020737648010253906,7.936793658678599e-07,list,parallel
0.04068160057067871,8.018070682586508e-07,list,parallel
0.014417409896850586,6.037882348765449e-07,list,parallel
0.018624305725097656,8.757278534827572e-08,list,parallel
0.007359027862548828,3.8764979082143703e-07,list,parallel
0.06477093696594238,8.086263191350919e-07,list,parallel
0.015282869338989258,,list,parallel
0.0070934295654296875,7.452924579111913e-07,list,parallel
0.0156252384185791,6.064729950874004e-08,list,parallel
0.012000083923339844,5.045875307556142e-08,list,parallel
0.0076482295989990234,1.2136774772029534e-07,list,parallel
0.013834714889526367,8.53088975731238e-07,list,parallel
0.009073257446289062,6.254371168780698e-08,list,parallel
0.03581953048706055,8.840474566744694e-07,list,parallel
0.07851004600524902,9.516018067341051e-07,list,parallel
0.023554563522338867,2.1695094822309351e-07,list,parallel
0.02027606964111328,5.701344083661944e-07,list,parallel
0.01909184455871582,6.928995197657704e-07,list,parallel
0.020129919052124023,2.5054235812084026e-07,list,parallel
0.015552043914794922,1.748388168296182e-07,list,parallel
0.015636920928955078,6.069264363001396e-08,list,parallel
0.016479015350341797,6.396112192265583e-08,list,parallel
0.17403936386108398,2.0629604625831906e-06,pd,parallel
0.42935919761657715,2.250793834558537e-06,pd,parallel
0.5452916622161865,2.816034894483199e-06,pd,parallel
0.007506132125854492,1.4580741724401471e-07,pd,parallel
0.7793095111846924,,pd,parallel
1.030700922012329,5.202187624403334e-06,pd,parallel
0.015625,6.064637411850996e-08,pd,parallel
0.2202756404876709,1.3704239914300413e-06,pd,parallel
0.5260004997253418,,pd,parallel
0.5395889282226562,2.674831612260625e-06,pd,parallel
0.5232267379760742,,pd,parallel
0.0,5.0555375268372684e-08,pd,parallel
0.0684657096862793,3.9251007138795676e-07,pd,parallel
0.01562809944152832,1.626223814860953e-07,pd,parallel
0.0,4.436762646957682e-08,pd,parallel
1.0607309341430664,5.297381918460792e-06,pd,parallel
0.25003623962402344,1.1964251724237872e-06,pd,parallel
0.5190744400024414,2.6758538608454617e-06,pd,parallel
0.4697120189666748,2.4576452407338407e-06,pd,parallel
0.813060998916626,4.165998002482162e-06,pd,parallel
0.4797346591949463,2.7422685206418923e-06,pd,parallel
1.0253486633300781,5.120389491229782e-06,pd,parallel
0.022450923919677734,1.3137659674931784e-07,pd,parallel
0.617220401763916,3.2062684867080128e-06,pd,parallel
0.6430087089538574,,pd,parallel
0.6695635318756104,3.416964549943567e-06,pd,parallel
0.07223129272460938,3.644478702764722e-07,pd,parallel
0.54221510887146,2.7165660964651344e-06,pd,parallel
0.5616617202758789,2.7918104839397425e-06,pd,parallel
0.06176114082336426,3.6107318804699494e-07,pd,parallel
0.5829100608825684,2.9607112432609655e-06,pd,parallel
0.612567663192749,,pd,parallel
0.299945592880249,1.539394684432767e-06,pd,parallel
0.015581130981445312,6.047610231617527e-08,pd,parallel
0.010539770126342773,1.0214976634858442e-07,pd,parallel
0.5765883922576904,2.6767359051157655e-06,df,parallel
0.03366374969482422,1.8119657771479126e-07,df,parallel
0.4847869873046875,2.360820592772779e-06,df,parallel
0.06294941902160645,3.6967617922401694e-07,df,parallel
0.007504463195800781,5.038950011923602e-08,df,parallel
0.6315321922302246,2.944844111310617e-06,df,parallel
0.6235432624816895,3.08224240002535e-06,df,parallel
0.3847782611846924,,df,parallel
0.6827070713043213,3.3640857423074758e-06,df,parallel
0.8088185787200928,3.861765074467801e-06,df,parallel
0.6100606918334961,3.072605767714416e-06,df,parallel
0.7234847545623779,,df,parallel
0.7479715347290039,3.6225263715366196e-06,df,parallel
0.36742639541625977,1.8080812831511258e-06,df,parallel
0.6358785629272461,3.216649709803386e-06,df,parallel
0.6362311840057373,3.2717842809769884e-06,df,parallel
0.6384148597717285,3.018144961168085e-06,df,parallel
